function,method,iterations,f_calls,g_calls,h_calls,distance_to_exact_min
Beale,CG,51.666666666666664,162.66666666666666,158.66666666666666,0.0,129.30720848694844
Beale,Gradient Descent,2313.3333333333335,2316.3333333333335,2313.3333333333335,0.0,0.2879994045876976
Beale,Nelder-Mead,1062.0,1955.0,0.0,0.0,103814.05549138917
Beale,Newton-CG,53.666666666666664,88.33333333333333,88.33333333333333,53.666666666666664,68.1268938535814
Himmelblau,CG,10.0,22.333333333333332,21.666666666666668,0.0,1.751750949606635e-07
Himmelblau,Gradient Descent,125.66666666666667,127.66666666666667,125.66666666666667,0.0,4.832400416680393e-07
Himmelblau,Nelder-Mead,88.0,169.33333333333334,0.0,0.0,3.843323399503947e-07
Himmelblau,Newton-CG,8.333333333333334,9.666666666666666,9.666666666666666,8.333333333333334,3.8426035425957747e-07
Rosenbrock,CG,28.666666666666668,71.33333333333333,71.0,0.0,6.6449913360654956e-09
Rosenbrock,Gradient Descent,2567.3333333333335,2880.0,2567.3333333333335,0.0,0.7449302101416374
Rosenbrock,Nelder-Mead,130.0,243.0,0.0,0.0,2.948564390329826e-10
Rosenbrock,Newton-CG,40.666666666666664,49.666666666666664,49.666666666666664,40.666666666666664,2.59210480124573e-09
